timeseries,label
1674644652755,0
1674644652776,0
1674644652804,0
1674644652824,0
1674644652846,0
1674644652867,0
1674644652888,0
1674644652908,0
1674644652928,0
1674644652949,0
1674644652970,0
1674644652991,0
1674644653011,0
1674644653032,0
1674644653052,0
1674644653072,0
1674644653092,0
1674644653112,0
1674644653131,0
1674644653150,0
1674644653171,0
1674644653189,0
1674644654031,0
1674644654056,0
1674644654079,0
1674644654099,0
1674644654123,0
1674644654144,0
1674644654167,0
1674644654191,0
1674644654212,0
1674644654234,0
1674644654255,0
1674644654274,0
1674644654293,0
1674644654311,0
1674644654332,0
1674644654351,0
1674644654371,0
1674644654392,0
1674644654413,0
1674644654433,0
1674644655232,0
1674644656010,0
1674644656043,0
1674644656065,0
1674644656089,0
1674644656110,0
1674644656131,0
1674644656151,0
1674644656171,0
1674644656192,0
1674644656213,0
1674644656233,0
1674644656254,0
1674644656275,0
1674644656296,0
1674644656381,0
1674644656397,0
1674644656412,0
1674644656427,0
1674644656443,0
1674644656460,0
1674644656477,0
1674644656494,0
1674644656512,0
1674644656529,0
1674644656546,0
1674644656564,0
1674644656582,0
1674644656597,0
1674644656613,0
1674644656629,0
1674644656645,0
1674644656660,0
1674644656677,0
1674644656692,0
1674644656710,0
1674644656728,0
1674644656749,0
1674644656767,0
1674644656787,0
1674644656809,0
1674644656829,0
1674644656846,0
1674644656862,0
1674644656879,0
1674644656895,0
1674644656912,0
1674644656928,0
1674644656946,0
1674644656963,0
1674644656980,0
1674644656997,0
1674644657015,0
1674644657031,0
1674644657049,0
1674644657066,0
1674644657083,0
1674644657862,0
1674644657907,0
1674644657929,0
1674644657947,0
1674644657964,0
1674644657981,0
1674644657998,0
1674644658015,0
1674644658033,0
1674644658050,0
1674644658067,0
1674644658084,0
1674644658101,0
1674644658118,0
1674644658135,0
1674644658206,0
1674644658223,0
1674644658244,0
1674644658263,0
1674644658285,0
1674644658306,0
1674644658326,0
1674644658345,0
1674644658366,0
1674644658385,0
1674644658406,0
1674644658425,0
1674644658446,0
1674644658467,0
1674644658488,0
1674644658508,0
1674644658529,0
1674644658549,0
1674644658571,0
1674644658591,0
1674644658612,0
1674644658632,0
1674644658653,0
1674644658672,0
1674644658692,0
1674644658710,0
1674644658729,0
1674644658749,0
1674644658769,0
1674644658788,0
1674644658806,0
1674644658825,0
1674644658845,0
1674644658866,0
1674644658886,0
1674644658906,0
1674644658926,0
1674644658944,0
1674644658965,0
1674644658985,0
1674644659004,0
1674644659024,0
1674644659043,0
1674644659063,0
1674644659084,0
1674644659104,0
1674644659132,0
1674644659152,0
1674644659172,0
1674644659191,0
1674644659212,0
1674644659233,0
1674644659253,0
1674644659273,0
1674644659292,0
1674644659313,0
1674644659337,0
1674644659413,0
1674644659432,0
1674644659451,0
1674644659470,0
1674644659489,0
1674644659507,0
1674644659527,0
1674644659545,0
1674644659565,0
1674644659583,0
1674644659602,0
1674644659621,0
1674644659640,0
1674644659658,0
1674644659679,0
1674644659696,0
1674644659714,0
1674644659733,0
1674644659751,0
1674644659770,0
1674644659789,0
1674644659807,0
1674644659825,0
1674644659844,0
1674644659862,0
1674644659880,0
1674644659900,0
1674644659919,0
1674644659938,0
1674644659956,0
1674644659974,0
1674644659993,0
1674644660011,0
1674644660038,0
1674644660057,0
1674644660075,0
1674644660094,0
1674644661019,0
1674644661058,0
1674644661084,0
1674644661103,0
1674644661122,0
1674644661141,0
1674644661160,0
1674644661178,0
1674644661197,0
1674644661216,0
1674644661235,0
1674644661254,0
1674644661272,0
1674644661291,0
1674644661311,0
1674644661328,0
1674644661345,0
1674644661361,0
1674644661377,0
1674644661395,0
1674644661480,0
1674644661501,0
1674644661524,0
1674644661545,0
1674644661569,0
1674644661589,0
1674644661609,0
1674644661633,0
1674644661656,0
1674644661681,0
1674644661705,0
1674644661730,0
1674644661753,0
1674644661776,0
1674644661799,0
1674644661827,0
1674644661850,0
1674644661871,0
1674644661893,0
1674644661914,0
1674644661936,0
1674644661957,0
1674644661979,0
1674644662001,0
1674644662020,0
1674644662040,0
1674644662062,0
1674644662084,0
1674644662106,0
1674644662127,0
1674644662149,0
1674644662171,0
1674644662193,0
1674644662214,0
1674644662236,0
1674644662257,0
1674644662278,0
1674644662300,0
1674644662322,0
1674644662341,0
1674644662362,0
1674644662384,0
1674644662405,0
1674644662426,0
1674644662448,0
1674644662470,0
1674644662491,0
1674644662510,0
1674644662531,0
1674644662550,0
1674644662570,0
1674644662589,0
1674644662609,0
1674644662630,0
1674644662650,0
1674644662669,0
1674644662689,0
1674644662785,0
1674644662805,0
1674644662824,0
1674644662843,0
1674644662862,0
1674644662883,0
1674644662903,0
1674644662923,0
1674644662942,0
1674644662960,0
1674644662978,0
1674644662997,0
1674644663016,0
1674644663039,0
1674644663059,0
1674644663080,0
1674644663101,0
1674644663122,0
1674644663145,0
1674644663166,0
1674644663187,0
1674644663208,0
1674644663229,0
1674644663250,0
1674644663273,0
1674644663298,0
1674644663319,0
1674644663340,0
1674644663358,0
1674644663386,0
1674644663410,0
1674644663431,0
1674644663450,0
1674644663471,0
1674644663492,0
1674644663512,0
1674644663532,0
1674644663552,0
1674644663570,0
1674644663589,0
1674644663609,0
1674644663633,0
1674644663655,0
1674644663677,0
1674644663698,0
1674644663720,0
1674644663744,0
1674644663784,0
1674644663844,0
1674644663945,0
1674644663974,0
1674644664004,0
1674644664041,0
1674644664065,0
1674644664090,0
1674644664112,0
1674644664136,0
1674644664244,0
1674644664264,0
1674644664284,0
1674644664303,0
1674644664321,0
1674644664339,0
1674644664357,0
1674644664374,0
1674644664396,0
1674644664415,0
1674644664434,0
1674644664457,0
1674644664478,0
1674644664497,0
1674644664514,0
1674644664532,0
1674644664550,0
1674644664572,0
1674644664592,0
1674644664613,0
1674644664633,0
1674644664655,0
1674644664677,0
1674644664699,0
1674644664717,0
1674644664738,0
1674644664758,0
1674644664778,0
1674644664798,0
1674644664818,0
1674644664837,0
1674644664856,0
1674644664874,0
1674644664892,0
1674644664911,0
1674644664931,0
1674644664950,0
1674644664969,0
1674644664989,0
1674644665009,0
1674644665030,0
1674644665048,0
1674644665066,0
1674644665090,0
1674644665111,0
1674644665131,0
1674644665150,0
1674644665173,0
1674644665194,0
1674644665221,0
1674644665257,0
1674644665290,0
1674644665320,0
1674644665343,0
1674644665365,0
1674644665386,0
1674644665405,0
1674644665503,0
1674644665525,0
1674644665545,0
1674644665565,0
1674644665586,0
1674644665606,0
1674644665626,0
1674644665645,0
1674644665665,0
1674644665687,0
1674644665709,0
1674644665731,0
1674644665750,0
1674644665772,0
1674644665794,0
1674644665814,0
1674644665837,0
1674644665860,0
1674644665884,0
1674644665910,0
1674644665932,0
1674644665955,0
1674644665978,0
1674644665999,0
1674644666020,0
1674644666041,0
1674644666062,0
1674644666082,0
1674644666101,0
1674644666119,0
1674644666137,0
1674644666155,0
1674644666175,0
1674644666195,0
1674644666216,0
1674644666239,0
1674644666259,0
1674644666278,0
1674644666297,0
1674644666316,0
1674644666338,0
1674644666359,0
1674644666379,0
1674644666401,0
1674644666421,0
1674644666442,0
1674644666463,0
1674644666485,0
1674644666505,0
1674644666526,0
1674644666547,0
1674644666568,0
1674644666589,0
1674644666610,0
1674644666632,0
1674644666653,0
1674644666675,0
1674644666786,0
1674644666809,0
1674644666835,0
1674644666864,0
1674644666894,0
1674644666921,0
1674644666943,0
1674644666965,0
1674644666983,0
1674644667007,0
1674644667027,0
1674644667048,0
1674644667068,0
1674644667092,0
1674644667115,0
1674644667137,0
1674644667159,0
1674644667180,0
1674644667202,0
1674644667223,0
1674644667243,0
1674644667264,0
1674644667286,0
1674644667307,0
1674644667327,0
1674644667351,0
1674644667372,0
1674644667392,0
1674644667412,0
1674644667432,0
1674644667451,0
1674644667469,0
1674644667487,0
1674644667506,0
1674644667527,0
1674644667545,0
1674644667565,0
1674644667585,0
1674644667605,0
1674644667626,0
1674644667648,0
1674644667667,0
1674644667688,0
1674644667709,0
1674644667730,0
1674644667749,0
1674644667770,0
1674644667791,0
1674644667812,0
1674644667832,0
1674644667850,0
1674644667870,0
1674644667888,0
1674644667908,0
1674644667965,0
1674644667998,0
1674644668039,0
1674644668146,0
1674644668170,0
1674644668191,0
1674644668213,0
1674644668233,0
1674644668253,0
1674644668274,0
1674644668295,0
1674644668314,0
1674644668333,0
1674644668353,0
1674644668374,0
1674644668392,0
1674644668412,0
1674644668433,0
1674644668453,0
1674644668473,0
1674644668494,0
1674644668513,0
1674644668535,0
1674644668557,0
1674644668578,0
1674644668600,0
1674644668622,0
1674644668644,0
1674644668665,0
1674644668686,0
1674644668709,0
1674644668727,0
1674644668747,0
1674644668766,0
1674644668785,0
1674644668805,0
1674644668824,0
1674644668842,0
1674644668862,0
1674644668881,0
1674644669163,0
1674644669183,0
1674644669204,0
1674644669225,0
1674644669246,0
1674644669265,0
1674644669283,0
1674644669304,0
1674644669324,0
1674644669342,0
1674644669362,0
1674644669382,0
1674644669403,0
1674644669423,0
1674644669442,0
1674644669461,0
1674644669481,0
1674644669502,0
1674644669523,0
1674644669544,0
1674644669632,0
1674644669651,0
1674644669671,0
1674644669691,0
1674644669710,0
1674644669730,0
1674644669748,0
1674644669767,0
1674644669787,0
1674644669808,0
1674644669826,0
1674644669844,0
1674644669862,0
1674644669883,0
1674644669901,0
1674644669921,0
1674644669939,0
1674644669958,0
1674644669975,0
1674644669994,0
1674644670015,0
1674644670035,0
1674644670054,0
1674644670075,0
1674644670093,0
1674644670113,0
1674644670134,0
1674644670154,0
1674644670175,0
1674644670196,0
1674644670215,0
1674644670234,0
1674644670255,0
1674644670273,0
1674644670291,0
1674644670310,0
1674644670331,0
1674644670351,0
1674644670373,0
1674644670392,0
1674644670411,0
1674644670432,0
1674644670452,0
1674644670471,0
1674644670490,0
1674644670508,0
1674644670528,0
1674644670548,0
1674644670568,0
1674644670591,0
1674644670611,0
1674644670630,0
1674644670651,0
1674644670671,0
1674644670691,0
1674644670712,0
1674644670731,0
1674644670815,0
1674644670834,0
1674644670855,0
1674644670877,0
1674644670898,0
1674644670917,0
1674644670938,0
1674644670958,0
1674644670976,0
1674644670997,0
1674644671017,0
1674644671037,0
1674644671058,0
1674644671079,0
1674644671102,0
1674644671123,0
1674644671145,0
1674644671166,0
1674644671188,0
1674644671208,0
1674644671227,0
1674644671246,0
1674644671265,0
1674644671283,0
1674644671303,0
1674644671324,0
1674644671344,0
1674644671365,0
1674644671386,0
1674644671407,0
1674644671428,0
