LEXXW;GXIIW;CODI_B;FTHM;INQQ;
0.884332;0.884332;0.884332;0.884332;0.884332;
0.895501;0.895501;0.895501;0.895501;0.895501;
0.836696;0.836696;0.836696;0.836696;0.836696;
0.894561;0.894561;0.894561;0.894561;0.894561;
0.945106;0.945106;0.945106;0.945106;0.945106;
0.946531;0.946531;0.946531;0.946531;0.946531;
0.991426;0.991426;0.991426;0.991426;0.991426;
0.902545;0.902545;0.902545;0.902545;0.902545;
0.964492;0.964492;0.964492;0.964492;0.964492;
1.01201;1.01201;1.01201;1.01201;1.01201;
0.975824;0.975824;0.975824;0.975824;0.975824;
0.919143;0.919143;0.919143;0.919143;0.919143;
0.923365;0.923365;0.923365;0.923365;0.923365;
0.923355;0.923355;0.923355;0.923355;0.923355;
0.852591;0.852591;0.852591;0.852591;0.852591;
0.919599;0.919599;0.919599;0.919599;0.919599;
0.933418;0.933418;0.933418;0.933418;0.933418;
1.00101;1.00101;1.00101;1.00101;1.00101;
0.944153;0.944153;0.944153;0.944153;0.944153;
0.85606;0.85606;0.85606;0.85606;0.85606;
0.789013;0.789013;0.789013;0.789013;0.789013;
0.730357;0.730357;0.730357;0.730357;0.730357;
0.722893;0.722893;0.722893;0.722893;0.722893;
0.715162;0.715162;0.715162;0.715162;0.715162;
0.744345;0.744345;0.744345;0.744345;0.744345;
0.709555;0.709555;0.709555;0.709555;0.709555;
0.643155;0.643155;0.643155;0.643155;0.643155;
0.737508;0.737508;0.737508;0.737508;0.737508;
0.721059;0.721059;0.721059;0.721059;0.721059;
0.657046;0.657046;0.657046;0.657046;0.657046;
0.695959;0.695959;0.695959;0.695959;0.695959;
0.773375;0.773375;0.773375;0.773375;0.773375;
0.718317;0.718317;0.718317;0.718317;0.718317;
0.678932;0.678932;0.678932;0.678932;0.678932;
0.702368;0.702368;0.702368;0.702368;0.702368;
0.650295;0.650295;0.650295;0.650295;0.650295;
0.610085;0.610085;0.610085;0.610085;0.610085;
0.722165;0.722165;0.722165;0.722165;0.722165;
0.675344;0.675344;0.675344;0.675344;0.675344;
0.619538;0.619538;0.619538;0.619538;0.619538;
0.688627;0.688627;0.688627;0.688627;0.688627;
0.748882;0.748882;0.748882;0.748882;0.748882;
0.731217;0.731217;0.731217;0.731217;0.731217;
