Axial_Velocity;Axial_Demodulation;Radial_Acceleration;Radial_Velocity;Radial_Demodulation;Axial_Acceleration
0.010137;0.027913;0.076859;0.010137;0.027913;0.076859
0.003294;0.009056;0.024898;0.003294;0.009056;0.024898
0.001675;0.004597;0.012616;0.001675;0.004597;0.012616
0.001991;0.005455;0.014945;0.001991;0.005455;0.014945
0.002297;0.006282;0.017183;0.002297;0.006282;0.017183
0.001535;0.004192;0.011449;0.001535;0.004192;0.011449
0.001029;0.002807;0.007654;0.001029;0.002807;0.007654
0.002031;0.005527;0.015041;0.002031;0.005527;0.015041
0.002473;0.006720;0.018260;0.002473;0.006720;0.018260
0.002754;0.007471;0.020268;0.002754;0.007471;0.020268
0.002516;0.006815;0.018462;0.002516;0.006815;0.018462
0.001677;0.004536;0.012269;0.001677;0.004536;0.012269
0.001243;0.003355;0.009058;0.001243;0.003355;0.009058
0.001389;0.003743;0.010088;0.001389;0.003743;0.010088
0.001244;0.003348;0.009011;0.001244;0.003348;0.009011
0.001028;0.002761;0.007416;0.001028;0.002761;0.007416
0.001735;0.004652;0.012474;0.001735;0.004652;0.012474
0.002367;0.006340;0.016981;0.002367;0.006340;0.016981
0.001553;0.004153;0.011107;0.001553;0.004153;0.011107
0.000917;0.002447;0.006531;0.000917;0.002447;0.006531
0.001408;0.003752;0.009997;0.001408;0.003752;0.009997
0.001506;0.004007;0.010665;0.001506;0.004007;0.010665
0.000365;0.000970;0.002575;0.000365;0.000970;0.002575
0.000621;0.001648;0.004371;0.000621;0.001648;0.004371
0.000993;0.002630;0.006964;0.000993;0.002630;0.006964
0.001326;0.003505;0.009267;0.001326;0.003505;0.009267
0.000758;0.002001;0.005281;0.000758;0.002001;0.005281
0.000253;0.000667;0.001758;0.000253;0.000667;0.001758
0.000421;0.001109;0.002917;0.000421;0.001109;0.002917
0.000739;0.001941;0.005099;0.000739;0.001941;0.005099
0.001330;0.003487;0.009144;0.001330;0.003487;0.009144
0.001709;0.004475;0.011717;0.001709;0.004475;0.011717
0.002320;0.006066;0.015858;0.002320;0.006066;0.015858
0.002929;0.007644;0.019953;0.002929;0.007644;0.019953
0.001853;0.004831;0.012595;0.001853;0.004831;0.012595
0.001109;0.002885;0.007508;0.001109;0.002885;0.007508
0.001676;0.004352;0.011304;0.001676;0.004352;0.011304
0.001809;0.004692;0.012173;0.001809;0.004692;0.012173
0.001189;0.003080;0.007980;0.001189;0.003080;0.007980
0.001257;0.003251;0.008403;0.001257;0.003251;0.008403
0.001585;0.004092;0.010567;0.001585;0.004092;0.010567
0.001367;0.003524;0.009086;0.001367;0.003524;0.009086
0.001536;0.003952;0.010171;0.001536;0.003952;0.010171
0.001701;0.004372;0.011237;0.001701;0.004372;0.011237
0.001530;0.003925;0.010069;0.001530;0.003925;0.010069
0.002332;0.005973;0.015303;0.002332;0.005973;0.015303
0.002125;0.005437;0.013909;0.002125;0.005437;0.013909
0.001545;0.003945;0.010076;0.001545;0.003945;0.010076
0.001663;0.004241;0.010816;0.001663;0.004241;0.010816
0.001152;0.002933;0.007467;0.001152;0.002933;0.007467
0.001845;0.004690;0.011925;0.001845;0.004690;0.011925
0.000648;0.001645;0.004176;0.000648;0.001645;0.004176
0.001489;0.003774;0.009566;0.001489;0.003774;0.009566
0.001323;0.003349;0.008476;0.001323;0.003349;0.008476
0.001679;0.004241;0.010716;0.001679;0.004241;0.010716
0.001099;0.002774;0.007000;0.001099;0.002774;0.007000
0.001270;0.003198;0.008055;0.001270;0.003198;0.008055
0.001905;0.004791;0.012049;0.001905;0.004791;0.012049
0.001547;0.003887;0.009763;0.001547;0.003887;0.009763
0.001777;0.004456;0.011172;0.001777;0.004456;0.011172
0.002439;0.006107;0.015289;0.002439;0.006107;0.015289
0.002207;0.005519;0.013801;0.002207;0.005519;0.013801
0.001481;0.003697;0.009230;0.001481;0.003697;0.009230
0.001431;0.003567;0.008890;0.001431;0.003567;0.008890
0.001542;0.003838;0.009552;0.001542;0.003838;0.009552
0.001303;0.003238;0.008048;0.001303;0.003238;0.008048
0.001199;0.002976;0.007385;0.001199;0.002976;0.007385
0.001198;0.002967;0.007352;0.001198;0.002967;0.007352
0.001506;0.003725;0.009213;0.001506;0.003725;0.009213
0.002175;0.005374;0.013276;0.002175;0.005374;0.013276
0.001906;0.004702;0.011599;0.001906;0.004702;0.011599
0.002205;0.005428;0.013366;0.002205;0.005428;0.013366
0.003934;0.009675;0.023794;0.003934;0.009675;0.023794
0.003820;0.009381;0.023037;0.003820;0.009381;0.023037
0.003408;0.008357;0.020491;0.003408;0.008357;0.020491
0.003170;0.007761;0.019002;0.003170;0.007761;0.019002
0.002108;0.005153;0.012599;0.002108;0.005153;0.012599
0.001002;0.002445;0.005970;0.001002;0.002445;0.005970
0.001250;0.003046;0.007425;0.001250;0.003046;0.007425
0.001443;0.003513;0.008550;0.001443;0.003513;0.008550
0.001077;0.002617;0.006360;0.001077;0.002617;0.006360
0.002511;0.006094;0.014786;0.002511;0.006094;0.014786
0.003049;0.007389;0.017905;0.003049;0.007389;0.017905
0.002474;0.005987;0.014489;0.002474;0.005987;0.014489
0.001713;0.004139;0.010003;0.001713;0.004139;0.010003
0.000922;0.002226;0.005371;0.000922;0.002226;0.005371
0.000655;0.001577;0.003799;0.000655;0.001577;0.003799
0.001220;0.002934;0.007057;0.001220;0.002934;0.007057
0.003128;0.007512;0.018039;0.003128;0.007512;0.018039
0.004160;0.009980;0.023940;0.004160;0.009980;0.023940
0.003836;0.009188;0.022007;0.003836;0.009188;0.022007
0.003054;0.007307;0.017480;0.003054;0.007307;0.017480
0.001636;0.003908;0.009337;0.001636;0.003908;0.009337
0.000837;0.001996;0.004760;0.000837;0.001996;0.004760
0.001218;0.002899;0.006903;0.001218;0.002899;0.006903
0.002066;0.004913;0.011682;0.002066;0.004913;0.011682
0.001875;0.004452;0.010573;0.001875;0.004452;0.010573
0.001080;0.002562;0.006077;0.001080;0.002562;0.006077
0.000428;0.001015;0.002402;0.000428;0.001015;0.002402
0.000602;0.001424;0.003367;0.000602;0.001424;0.003367
0.000978;0.002308;0.005451;0.000978;0.002308;0.005451
0.000278;0.000656;0.001546;0.000278;0.000656;0.001546
0.001314;0.003094;0.007285;0.001314;0.003094;0.007285
0.001125;0.002645;0.006219;0.001125;0.002645;0.006219
0.001239;0.002908;0.006827;0.001239;0.002908;0.006827
0.001262;0.002958;0.006934;0.001262;0.002958;0.006934
0.001461;0.003419;0.008005;0.001461;0.003419;0.008005
0.002224;0.005200;0.012155;0.002224;0.005200;0.012155
0.002330;0.005439;0.012698;0.002330;0.005439;0.012698
0.003668;0.008550;0.019930;0.003668;0.008550;0.019930
0.004223;0.009830;0.022884;0.004223;0.009830;0.022884
0.003376;0.007849;0.018249;0.003376;0.007849;0.018249
0.002309;0.005360;0.012444;0.002309;0.005360;0.012444
0.001325;0.003072;0.007122;0.001325;0.003072;0.007122
0.000940;0.002177;0.005038;0.000940;0.002177;0.005038
0.000565;0.001307;0.003022;0.000565;0.001307;0.003022
0.001274;0.002938;0.006778;0.001274;0.002938;0.006778
0.003127;0.007207;0.016612;0.003127;0.007207;0.016612
