Axial_Acceleration;Axial_Velocity;Axial_Demodulation;Radial_Acceleration;Radial_Velocity;Radial_Demodulation
0.000778;0.003033;0.011831;0.000778;0.003033;0.011831
0.000450;0.001753;0.006820;0.000450;0.001753;0.006820
0.000903;0.003507;0.013613;0.000903;0.003507;0.013613
0.000814;0.003151;0.012205;0.000814;0.003151;0.012205
0.001049;0.004054;0.015663;0.001049;0.004054;0.015663
0.001001;0.003858;0.014869;0.001001;0.003858;0.014869
0.000933;0.003589;0.013801;0.000933;0.003589;0.013801
0.001069;0.004099;0.015722;0.001069;0.004099;0.015722
0.001238;0.004738;0.018129;0.001238;0.004738;0.018129
0.000623;0.002379;0.009083;0.000623;0.002379;0.009083
0.000716;0.002725;0.010379;0.000716;0.002725;0.010379
0.000670;0.002544;0.009668;0.000670;0.002544;0.009668
0.001195;0.004529;0.017166;0.001195;0.004529;0.017166
0.000753;0.002847;0.010769;0.000753;0.002847;0.010769
0.000194;0.000734;0.002770;0.000194;0.000734;0.002770
0.000248;0.000935;0.003517;0.000248;0.000935;0.003517
0.000146;0.000549;0.002062;0.000146;0.000549;0.002062
0.000364;0.001365;0.005111;0.000364;0.001365;0.005111
0.000643;0.002405;0.008986;0.000643;0.002405;0.008986
0.000442;0.001649;0.006149;0.000442;0.001649;0.006149
0.000491;0.001828;0.006801;0.000491;0.001828;0.006801
0.000671;0.002490;0.009241;0.000671;0.002490;0.009241
0.001382;0.005117;0.018944;0.001382;0.005117;0.018944
0.001329;0.004911;0.018147;0.001329;0.004911;0.018147
0.000908;0.003349;0.012349;0.000908;0.003349;0.012349
0.000815;0.002996;0.011021;0.000815;0.002996;0.011021
0.000338;0.001240;0.004555;0.000338;0.001240;0.004555
0.000290;0.001060;0.003880;0.000290;0.001060;0.003880
0.000249;0.000910;0.003325;0.000249;0.000910;0.003325
0.000336;0.001224;0.004459;0.000336;0.001224;0.004459
0.000689;0.002504;0.009104;0.000689;0.002504;0.009104
0.000852;0.003091;0.011215;0.000852;0.003091;0.011215
0.000763;0.002761;0.009996;0.000763;0.002761;0.009996
0.000733;0.002649;0.009566;0.000733;0.002649;0.009566
0.000589;0.002123;0.007652;0.000589;0.002123;0.007652
0.000445;0.001599;0.005751;0.000445;0.001599;0.005751
0.000782;0.002803;0.010053;0.000782;0.002803;0.010053
0.000814;0.002914;0.010434;0.000814;0.002914;0.010434
0.000724;0.002585;0.009232;0.000724;0.002585;0.009232
0.000429;0.001529;0.005455;0.000429;0.001529;0.005455
0.000337;0.001199;0.004262;0.000337;0.001199;0.004262
0.000338;0.001200;0.004260;0.000338;0.001200;0.004260
0.000380;0.001343;0.004753;0.000380;0.001343;0.004753
0.000562;0.001986;0.007016;0.000562;0.001986;0.007016
0.000462;0.001629;0.005746;0.000462;0.001629;0.005746
0.000394;0.001385;0.004871;0.000394;0.001385;0.004871
0.000425;0.001493;0.005240;0.000425;0.001493;0.005240
0.000352;0.001234;0.004322;0.000352;0.001234;0.004322
0.000444;0.001550;0.005413;0.000444;0.001550;0.005413
0.000448;0.001563;0.005452;0.000448;0.001563;0.005452
0.000589;0.002047;0.007117;0.000589;0.002047;0.007117
0.001342;0.004658;0.016165;0.001342;0.004658;0.016165
0.001227;0.004254;0.014745;0.001227;0.004254;0.014745
0.000588;0.002031;0.007019;0.000588;0.002031;0.007019
0.000897;0.003093;0.010668;0.000897;0.003093;0.010668
0.000923;0.003176;0.010934;0.000923;0.003176;0.010934
0.000930;0.003194;0.010969;0.000930;0.003194;0.010969
0.001218;0.004176;0.014311;0.001218;0.004176;0.014311
0.001212;0.004147;0.014184;0.001212;0.004147;0.014184
0.001056;0.003603;0.012298;0.001056;0.003603;0.012298
0.000796;0.002712;0.009238;0.000796;0.002712;0.009238
0.000870;0.002954;0.010036;0.000870;0.002954;0.010036
0.001390;0.004713;0.015981;0.001390;0.004713;0.015981
0.001246;0.004217;0.014275;0.001246;0.004217;0.014275
0.000738;0.002493;0.008419;0.000738;0.002493;0.008419
0.000715;0.002410;0.008121;0.000715;0.002410;0.008121
0.000634;0.002132;0.007170;0.000634;0.002132;0.007170
0.000519;0.001744;0.005852;0.000519;0.001744;0.005852
0.000497;0.001665;0.005575;0.000497;0.001665;0.005575
0.000692;0.002314;0.007731;0.000692;0.002314;0.007731
0.000675;0.002253;0.007514;0.000675;0.002253;0.007514
0.000411;0.001366;0.004546;0.000411;0.001366;0.004546
0.000586;0.001947;0.006467;0.000586;0.001947;0.006467
0.000549;0.001819;0.006028;0.000549;0.001819;0.006028
0.000985;0.003258;0.010776;0.000985;0.003258;0.010776
0.000959;0.003167;0.010455;0.000959;0.003167;0.010455
0.000968;0.003189;0.010505;0.000968;0.003189;0.010505
0.001190;0.003911;0.012858;0.001190;0.003911;0.012858
0.001250;0.004103;0.013462;0.001250;0.004103;0.013462
0.000522;0.001710;0.005599;0.000522;0.001710;0.005599
0.000518;0.001693;0.005530;0.000518;0.001693;0.005530
0.000666;0.002171;0.007080;0.000666;0.002171;0.007080
0.000536;0.001745;0.005679;0.000536;0.001745;0.005679
0.000637;0.002069;0.006718;0.000637;0.002069;0.006718
0.000334;0.001084;0.003513;0.000334;0.001084;0.003513
0.000670;0.002167;0.007010;0.000670;0.002167;0.007010
0.000456;0.001470;0.004746;0.000456;0.001470;0.004746
0.001018;0.003280;0.010565;0.001018;0.003280;0.010565
0.001440;0.004629;0.014885;0.001440;0.004629;0.014885
0.001659;0.005322;0.017078;0.001659;0.005322;0.017078
0.001128;0.003611;0.011564;0.001128;0.003611;0.011564
0.000531;0.001697;0.005422;0.000531;0.001697;0.005422
0.000316;0.001008;0.003215;0.000316;0.001008;0.003215
0.000142;0.000452;0.001439;0.000142;0.000452;0.001439
0.000425;0.001350;0.004287;0.000425;0.001350;0.004287
0.001092;0.003461;0.010974;0.001092;0.003461;0.010974
0.000872;0.002759;0.008733;0.000872;0.002759;0.008733
0.000402;0.001270;0.004013;0.000402;0.001270;0.004013
0.000516;0.001627;0.005127;0.000516;0.001627;0.005127
0.000689;0.002167;0.006818;0.000689;0.002167;0.006818
0.000755;0.002370;0.007442;0.000755;0.002370;0.007442
0.000583;0.001828;0.005729;0.000583;0.001828;0.005729
0.000832;0.002601;0.008134;0.000832;0.002601;0.008134
0.000867;0.002706;0.008448;0.000867;0.002706;0.008448
0.000476;0.001483;0.004623;0.000476;0.001483;0.004623
0.000463;0.001438;0.004472;0.000463;0.001438;0.004472
0.000753;0.002335;0.007247;0.000753;0.002335;0.007247
0.000469;0.001452;0.004499;0.000469;0.001452;0.004499
0.000292;0.000902;0.002790;0.000292;0.000902;0.002790
0.000667;0.002058;0.006350;0.000667;0.002058;0.006350
0.000919;0.002832;0.008720;0.000919;0.002832;0.008720
0.000582;0.001788;0.005498;0.000582;0.001788;0.005498
0.000554;0.001701;0.005219;0.000554;0.001701;0.005219
0.000331;0.001014;0.003105;0.000331;0.001014;0.003105
0.000836;0.002556;0.007808;0.000836;0.002556;0.007808
0.001445;0.004406;0.013440;0.001445;0.004406;0.013440
0.001064;0.003240;0.009869;0.001064;0.003240;0.009869
0.000435;0.001321;0.004018;0.000435;0.001321;0.004018
0.000386;0.001170;0.003549;0.000386;0.001170;0.003549
0.000617;0.001869;0.005657;0.000617;0.001869;0.005657
0.000558;0.001687;0.005098;0.000558;0.001687;0.005098
0.000354;0.001069;0.003227;0.000354;0.001069;0.003227
0.000314;0.000944;0.002843;0.000314;0.000944;0.002843
0.000138;0.000415;0.001248;0.000138;0.000415;0.001248
0.000388;0.001164;0.003488;0.000388;0.001164;0.003488
0.000630;0.001886;0.005647;0.000630;0.001886;0.005647
0.000660;0.001972;0.005893;0.000660;0.001972;0.005893
0.000616;0.001838;0.005482;0.000616;0.001838;0.005482
0.000452;0.001347;0.004012;0.000452;0.001347;0.004012
0.000568;0.001689;0.005017;0.000568;0.001689;0.005017
0.000871;0.002584;0.007665;0.000871;0.002584;0.007665
0.000646;0.001914;0.005671;0.000646;0.001914;0.005671
0.000537;0.001586;0.004686;0.000537;0.001586;0.004686
0.000515;0.001520;0.004485;0.000515;0.001520;0.004485
0.000505;0.001488;0.004379;0.000505;0.001488;0.004379
0.000872;0.002564;0.007534;0.000872;0.002564;0.007534
0.001241;0.003641;0.010680;0.001241;0.003641;0.010680
0.000903;0.002645;0.007749;0.000903;0.002645;0.007749
0.000350;0.001022;0.002986;0.000350;0.001022;0.002986
0.000728;0.002124;0.006196;0.000728;0.002124;0.006196
0.001377;0.004010;0.011677;0.001377;0.004010;0.011677
0.001632;0.004746;0.013799;0.001632;0.004746;0.013799
0.001376;0.003994;0.011591;0.001376;0.003994;0.011591
0.001037;0.003004;0.008703;0.001037;0.003004;0.008703
0.001737;0.005019;0.014503;0.001737;0.005019;0.014503
0.003746;0.010811;0.031201;0.003746;0.010811;0.031201
0.003820;0.011010;0.031730;0.003820;0.011010;0.031730
0.001925;0.005541;0.015945;0.001925;0.005541;0.015945
0.000404;0.001161;0.003332;0.000404;0.001161;0.003332
0.000418;0.001199;0.003435;0.000418;0.001199;0.003435
0.000640;0.001829;0.005231;0.000640;0.001829;0.005231
0.001145;0.003270;0.009337;0.001145;0.003270;0.009337
0.000988;0.002816;0.008031;0.000988;0.002816;0.008031
0.000434;0.001234;0.003511;0.000434;0.001234;0.003511
0.000454;0.001290;0.003664;0.000454;0.001290;0.003664
0.000532;0.001509;0.004278;0.000532;0.001509;0.004278
