Radial_Acceleration;Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation
0.001358;0.003188;0.007485;0.001358;0.003188;0.007485
0.001540;0.003610;0.008462;0.001540;0.003610;0.008462
0.001517;0.003551;0.008313;0.001517;0.003551;0.008313
0.002282;0.005335;0.012471;0.002282;0.005335;0.012471
0.002201;0.005138;0.011995;0.002201;0.005138;0.011995
0.003440;0.008018;0.018689;0.003440;0.008018;0.018689
0.004141;0.009639;0.022438;0.004141;0.009639;0.022438
0.003336;0.007756;0.018031;0.003336;0.007756;0.018031
0.002123;0.004930;0.011447;0.002123;0.004930;0.011447
0.001054;0.002444;0.005667;0.001054;0.002444;0.005667
0.000848;0.001964;0.004544;0.000848;0.001964;0.004544
0.000633;0.001465;0.003388;0.000633;0.001465;0.003388
0.001447;0.003338;0.007699;0.001447;0.003338;0.007699
0.003478;0.008018;0.018481;0.003478;0.008018;0.018481
0.003398;0.007824;0.018015;0.003398;0.007824;0.018015
0.001945;0.004473;0.010284;0.001945;0.004473;0.010284
0.001211;0.002780;0.006383;0.001211;0.002780;0.006383
0.000916;0.002099;0.004811;0.000916;0.002099;0.004811
0.001063;0.002434;0.005572;0.001063;0.002434;0.005572
0.001366;0.003121;0.007133;0.001366;0.003121;0.007133
0.003640;0.008311;0.018974;0.003640;0.008311;0.018974
0.003747;0.008544;0.019479;0.003747;0.008544;0.019479
0.002813;0.006405;0.014583;0.002813;0.006405;0.014583
0.000377;0.000857;0.001949;0.000377;0.000857;0.001949
0.002340;0.005313;0.012063;0.002340;0.005313;0.012063
0.001919;0.004351;0.009866;0.001919;0.004351;0.009866
0.002859;0.006474;0.014657;0.002859;0.006474;0.014657
0.001964;0.004442;0.010045;0.001964;0.004442;0.010045
0.002175;0.004910;0.011087;0.002175;0.004910;0.011087
0.002797;0.006306;0.014220;0.002797;0.006306;0.014220
0.004218;0.009498;0.021388;0.004218;0.009498;0.021388
0.003891;0.008751;0.019682;0.003891;0.008751;0.019682
0.001998;0.004489;0.010085;0.001998;0.004489;0.010085
0.002021;0.004532;0.010163;0.002021;0.004532;0.010163
0.002616;0.005859;0.013123;0.002616;0.005859;0.013123
0.002574;0.005759;0.012881;0.002574;0.005759;0.012881
0.001943;0.004341;0.009699;0.001943;0.004341;0.009699
0.002205;0.004916;0.010964;0.002205;0.004916;0.010964
0.002776;0.006186;0.013782;0.002776;0.006186;0.013782
0.002189;0.004870;0.010834;0.002189;0.004870;0.010834
0.001424;0.003164;0.007033;0.001424;0.003164;0.007033
0.000952;0.002111;0.004680;0.000952;0.002111;0.004680
0.002718;0.006023;0.013345;0.002718;0.006023;0.013345
0.002932;0.006489;0.014360;0.002932;0.006489;0.014360
0.002587;0.005717;0.012634;0.002587;0.005717;0.012634
0.001717;0.003788;0.008362;0.001717;0.003788;0.008362
0.001323;0.002916;0.006426;0.001323;0.002916;0.006426
0.001872;0.004121;0.009071;0.001872;0.004121;0.009071
0.000523;0.001150;0.002528;0.000523;0.001150;0.002528
0.002328;0.005110;0.011217;0.002328;0.005110;0.011217
0.003081;0.006754;0.014807;0.003081;0.006754;0.014807
0.002464;0.005394;0.011811;0.002464;0.005394;0.011811
0.001387;0.003034;0.006635;0.001387;0.003034;0.006635
0.001151;0.002515;0.005491;0.001151;0.002515;0.005491
0.001990;0.004340;0.009463;0.001990;0.004340;0.009463
0.002888;0.006290;0.013699;0.002888;0.006290;0.013699
0.002399;0.005218;0.011352;0.002399;0.005218;0.011352
0.002055;0.004463;0.009695;0.002055;0.004463;0.009695
0.002251;0.004884;0.010595;0.002251;0.004884;0.010595
0.001616;0.003501;0.007588;0.001616;0.003501;0.007588
0.000763;0.001652;0.003576;0.000763;0.001652;0.003576
0.001528;0.003301;0.007130;0.001528;0.003301;0.007130
0.002808;0.006059;0.013075;0.002808;0.006059;0.013075
0.002432;0.005244;0.011304;0.002432;0.005244;0.011304
0.001122;0.002416;0.005202;0.001122;0.002416;0.005202
0.000808;0.001737;0.003732;0.000808;0.001737;0.003732
0.001742;0.003740;0.008027;0.001742;0.003740;0.008027
0.002589;0.005552;0.011905;0.002589;0.005552;0.011905
0.002152;0.004609;0.009871;0.002152;0.004609;0.009871
0.002114;0.004520;0.009665;0.002114;0.004520;0.009665
0.003098;0.006616;0.014131;0.003098;0.006616;0.014131
0.002847;0.006074;0.012958;0.002847;0.006074;0.012958
0.001431;0.003048;0.006494;0.001431;0.003048;0.006494
0.001326;0.002822;0.006003;0.001326;0.002822;0.006003
0.002137;0.004542;0.009650;0.002137;0.004542;0.009650
0.001619;0.003437;0.007294;0.001619;0.003437;0.007294
0.002416;0.005121;0.010854;0.002416;0.005121;0.010854
0.001076;0.002278;0.004823;0.001076;0.002278;0.004823
0.001401;0.002962;0.006261;0.001401;0.002962;0.006261
0.002720;0.005742;0.012122;0.002720;0.005742;0.012122
0.003229;0.006809;0.014357;0.003229;0.006809;0.014357
0.004072;0.008574;0.018056;0.004072;0.008574;0.018056
0.002568;0.005402;0.011365;0.002568;0.005402;0.011365
0.001675;0.003518;0.007391;0.001675;0.003518;0.007391
0.001554;0.003260;0.006841;0.001554;0.003260;0.006841
0.001457;0.003052;0.006395;0.001457;0.003052;0.006395
0.001491;0.003120;0.006529;0.001491;0.003120;0.006529
0.000970;0.002028;0.004240;0.000970;0.002028;0.004240
0.001322;0.002758;0.005754;0.001322;0.002758;0.005754
0.002830;0.005898;0.012295;0.002830;0.005898;0.012295
0.003078;0.006410;0.013347;0.003078;0.006410;0.013347
0.001912;0.003978;0.008275;0.001912;0.003978;0.008275
0.001291;0.002680;0.005563;0.001291;0.002680;0.005563
0.002762;0.005729;0.011884;0.002762;0.005729;0.011884
0.002092;0.004334;0.008980;0.002092;0.004334;0.008980
0.001589;0.003288;0.006802;0.001589;0.003288;0.006802
0.002165;0.004474;0.009246;0.002165;0.004474;0.009246
0.002075;0.004283;0.008841;0.002075;0.004283;0.008841
0.001024;0.002110;0.004349;0.001024;0.002110;0.004349
0.003252;0.006695;0.013784;0.003252;0.006695;0.013784
0.003450;0.007094;0.014588;0.003450;0.007094;0.014588
0.002293;0.004709;0.009672;0.002293;0.004709;0.009672
0.004206;0.008627;0.017695;0.004206;0.008627;0.017695
0.003328;0.006819;0.013970;0.003328;0.006819;0.013970
0.001779;0.003641;0.007451;0.001779;0.003641;0.007451
0.001266;0.002587;0.005287;0.001266;0.002587;0.005287
0.002041;0.004166;0.008502;0.002041;0.004166;0.008502
0.002480;0.005056;0.010307;0.002480;0.005056;0.010307
0.001939;0.003948;0.008040;0.001939;0.003948;0.008040
0.001160;0.002360;0.004800;0.001160;0.002360;0.004800
0.000629;0.001279;0.002597;0.000629;0.001279;0.002597
0.001023;0.002075;0.004209;0.001023;0.002075;0.004209
0.003494;0.007076;0.014332;0.003494;0.007076;0.014332
0.004411;0.008928;0.018069;0.004411;0.008928;0.018069
0.005766;0.011652;0.023543;0.005766;0.011652;0.023543
0.009221;0.018614;0.037576;0.009221;0.018614;0.037576
0.010311;0.020789;0.041915;0.010311;0.020789;0.041915
0.009609;0.019354;0.038981;0.009609;0.019354;0.038981
0.005315;0.010692;0.021507;0.005315;0.010692;0.021507
0.004013;0.008062;0.016195;0.004013;0.008062;0.016195
0.003483;0.006989;0.014024;0.003483;0.006989;0.014024
0.002241;0.004491;0.009001;0.002241;0.004491;0.009001
0.002469;0.004941;0.009891;0.002469;0.004941;0.009891
0.002598;0.005194;0.010383;0.002598;0.005194;0.010383
0.002679;0.005350;0.010684;0.002679;0.005350;0.010684
0.002483;0.004953;0.009878;0.002483;0.004953;0.009878
0.002235;0.004452;0.008868;0.002235;0.004452;0.008868
0.003615;0.007192;0.014310;0.003615;0.007192;0.014310
0.003369;0.006694;0.013304;0.003369;0.006694;0.013304
0.001521;0.003020;0.005996;0.001521;0.003020;0.005996
0.002233;0.004427;0.008776;0.002233;0.004427;0.008776
0.003035;0.006009;0.011898;0.003035;0.006009;0.011898
0.002281;0.004511;0.008923;0.002281;0.004511;0.008923
0.001738;0.003433;0.006781;0.001738;0.003433;0.006781
