Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation;Radial_Acceleration
0.000564;0.001554;0.004282;0.000564;0.001554;0.004282
0.000908;0.002498;0.006867;0.000908;0.002498;0.006867
0.000943;0.002590;0.007113;0.000943;0.002590;0.007113
0.000939;0.002574;0.007054;0.000939;0.002574;0.007054
0.000514;0.001409;0.003858;0.000514;0.001409;0.003858
0.000657;0.001794;0.004898;0.000657;0.001794;0.004898
0.000865;0.002359;0.006434;0.000865;0.002359;0.006434
0.000512;0.001395;0.003799;0.000512;0.001395;0.003799
0.000851;0.002312;0.006282;0.000851;0.002312;0.006282
0.001030;0.002797;0.007594;0.001030;0.002797;0.007594
0.001234;0.003341;0.009047;0.001234;0.003341;0.009047
0.003142;0.008495;0.022970;0.003142;0.008495;0.022970
0.004966;0.013410;0.036209;0.004966;0.013410;0.036209
0.004177;0.011263;0.030372;0.004177;0.011263;0.030372
0.001657;0.004462;0.012012;0.001657;0.004462;0.012012
0.000639;0.001717;0.004614;0.000639;0.001717;0.004614
0.001015;0.002722;0.007301;0.001015;0.002722;0.007301
0.001326;0.003551;0.009511;0.001326;0.003551;0.009511
0.001313;0.003508;0.009376;0.001313;0.003508;0.009376
0.003244;0.008658;0.023105;0.003244;0.008658;0.023105
0.005225;0.013923;0.037104;0.005225;0.013923;0.037104
0.004851;0.012909;0.034349;0.004851;0.012909;0.034349
0.002627;0.006978;0.018537;0.002627;0.006978;0.018537
0.001495;0.003965;0.010515;0.001495;0.003965;0.010515
0.001271;0.003365;0.008910;0.001271;0.003365;0.008910
0.000805;0.002128;0.005624;0.000805;0.002128;0.005624
0.001201;0.003170;0.008365;0.001201;0.003170;0.008365
0.001182;0.003114;0.008204;0.001182;0.003114;0.008204
0.001265;0.003326;0.008750;0.001265;0.003326;0.008750
0.001221;0.003206;0.008419;0.001221;0.003206;0.008419
0.002561;0.006716;0.017610;0.002561;0.006716;0.017610
0.002319;0.006070;0.015889;0.002319;0.006070;0.015889
0.001527;0.003992;0.010434;0.001527;0.003992;0.010434
0.000761;0.001986;0.005183;0.000761;0.001986;0.005183
0.001006;0.002620;0.006827;0.001006;0.002620;0.006827
0.000991;0.002577;0.006703;0.000991;0.002577;0.006703
0.001023;0.002658;0.006901;0.001023;0.002658;0.006901
0.002038;0.005284;0.013699;0.002038;0.005284;0.013699
0.001009;0.002613;0.006766;0.001009;0.002613;0.006766
0.000540;0.001395;0.003605;0.000540;0.001395;0.003605
0.000854;0.002203;0.005683;0.000854;0.002203;0.005683
0.000705;0.001817;0.004682;0.000705;0.001817;0.004682
0.001493;0.003839;0.009872;0.001493;0.003839;0.009872
0.002487;0.006387;0.016403;0.002487;0.006387;0.016403
0.002114;0.005422;0.013906;0.002114;0.005422;0.013906
0.001268;0.003248;0.008318;0.001268;0.003248;0.008318
0.000901;0.002304;0.005889;0.000901;0.002304;0.005889
0.000788;0.002010;0.005131;0.000788;0.002010;0.005131
0.001700;0.004331;0.011032;0.001700;0.004331;0.011032
0.003116;0.007925;0.020160;0.003116;0.007925;0.020160
0.003024;0.007682;0.019518;0.003024;0.007682;0.019518
0.001474;0.003740;0.009490;0.001474;0.003740;0.009490
0.001426;0.003611;0.009139;0.001426;0.003611;0.009139
0.001771;0.004479;0.011326;0.001771;0.004479;0.011326
0.001093;0.002759;0.006966;0.001093;0.002759;0.006966
0.001274;0.003209;0.008087;0.001274;0.003209;0.008087
0.001303;0.003280;0.008257;0.001303;0.003280;0.008257
0.000921;0.002314;0.005813;0.000921;0.002314;0.005813
0.001033;0.002592;0.006504;0.001033;0.002592;0.006504
0.001071;0.002682;0.006716;0.001071;0.002682;0.006716
0.001474;0.003686;0.009220;0.001474;0.003686;0.009220
0.001045;0.002610;0.006520;0.001045;0.002610;0.006520
0.000552;0.001375;0.003430;0.000552;0.001375;0.003430
0.000543;0.001351;0.003364;0.000543;0.001351;0.003364
0.000619;0.001538;0.003823;0.000619;0.001538;0.003823
0.001185;0.002942;0.007302;0.001185;0.002942;0.007302
0.001656;0.004104;0.010171;0.001656;0.004104;0.010171
0.001977;0.004893;0.012107;0.001977;0.004893;0.012107
0.002475;0.006116;0.015111;0.002475;0.006116;0.015111
0.002557;0.006309;0.015565;0.002557;0.006309;0.015565
0.002628;0.006473;0.015944;0.002628;0.006473;0.015944
0.002706;0.006655;0.016367;0.002706;0.006655;0.016367
0.005643;0.013858;0.034034;0.005643;0.013858;0.034034
0.005908;0.014487;0.035526;0.005908;0.014487;0.035526
0.004815;0.011790;0.028867;0.004815;0.011790;0.028867
0.003561;0.008707;0.021288;0.003561;0.008707;0.021288
0.002849;0.006955;0.016978;0.002849;0.006955;0.016978
0.001842;0.004489;0.010943;0.001842;0.004489;0.010943
0.000387;0.000942;0.002294;0.000387;0.000942;0.002294
0.001584;0.003849;0.009353;0.001584;0.003849;0.009353
0.000581;0.001410;0.003422;0.000581;0.001410;0.003422
0.001706;0.004132;0.010011;0.001706;0.004132;0.010011
0.002254;0.005454;0.013195;0.002254;0.005454;0.013195
0.002385;0.005762;0.013919;0.002385;0.005762;0.013919
0.002757;0.006649;0.016039;0.002757;0.006649;0.016039
0.002849;0.006861;0.016527;0.002849;0.006861;0.016527
0.002249;0.005410;0.013014;0.002249;0.005410;0.013014
0.002179;0.005234;0.012569;0.002179;0.005234;0.012569
0.001825;0.004376;0.010495;0.001825;0.004376;0.010495
0.000959;0.002297;0.005502;0.000959;0.002297;0.005502
0.000848;0.002027;0.004846;0.000848;0.002027;0.004846
0.000909;0.002169;0.005179;0.000909;0.002169;0.005179
0.000784;0.001868;0.004455;0.000784;0.001868;0.004455
