Axial_Velocity;Axial_Demodulation;Radial_Acceleration;Radial_Velocity;Radial_Demodulation;Axial_Acceleration
0.003742;0.009241;0.022823;0.003742;0.009241;0.022823
0.004984;0.012286;0.030286;0.004984;0.012286;0.030286
0.006444;0.015867;0.039068;0.006444;0.015867;0.039068
0.004580;0.011262;0.027691;0.004580;0.011262;0.027691
0.003202;0.007859;0.019290;0.003202;0.007859;0.019290
0.003452;0.008462;0.020742;0.003452;0.008462;0.020742
0.003717;0.009096;0.022258;0.003717;0.009096;0.022258
0.004857;0.011870;0.029010;0.004857;0.011870;0.029010
0.004358;0.010634;0.025948;0.004358;0.010634;0.025948
0.005842;0.014231;0.034666;0.005842;0.014231;0.034666
0.010096;0.024563;0.059762;0.010096;0.024563;0.059762
0.009037;0.021955;0.053340;0.009037;0.021955;0.053340
0.005898;0.014309;0.034713;0.005898;0.014309;0.034713
0.002456;0.005949;0.014411;0.002456;0.005949;0.014411
0.000514;0.001243;0.003005;0.000514;0.001243;0.003005
0.002554;0.006169;0.014898;0.002554;0.006169;0.014898
0.005838;0.014079;0.033951;0.005838;0.014079;0.033951
0.005710;0.013751;0.033112;0.005710;0.013751;0.033112
0.003496;0.008408;0.020219;0.003496;0.008408;0.020219
0.003492;0.008384;0.020130;0.003492;0.008384;0.020130
0.005387;0.012915;0.030960;0.005387;0.012915;0.030960
0.005918;0.014167;0.033917;0.005918;0.014167;0.033917
0.003948;0.009439;0.022570;0.003948;0.009439;0.022570
0.003625;0.008654;0.020658;0.003625;0.008654;0.020658
0.002744;0.006542;0.015596;0.002744;0.006542;0.015596
0.001792;0.004265;0.010153;0.001792;0.004265;0.010153
0.002135;0.005074;0.012058;0.002135;0.005074;0.012058
0.001616;0.003837;0.009109;0.001616;0.003837;0.009109
0.002131;0.005049;0.011963;0.002131;0.005049;0.011963
0.003474;0.008221;0.019453;0.003474;0.008221;0.019453
0.004108;0.009708;0.022941;0.004108;0.009708;0.022941
0.004411;0.010409;0.024563;0.004411;0.010409;0.024563
0.005642;0.013292;0.031316;0.005642;0.013292;0.031316
0.006879;0.016188;0.038093;0.006879;0.016188;0.038093
0.004974;0.011689;0.027473;0.004974;0.011689;0.027473
0.002666;0.006256;0.014677;0.002666;0.006256;0.014677
0.003876;0.009079;0.021265;0.003876;0.009079;0.021265
0.005637;0.013189;0.030861;0.005637;0.013189;0.030861
0.003885;0.009076;0.021207;0.003885;0.009076;0.021207
0.004019;0.009374;0.021864;0.004019;0.009374;0.021864
0.006521;0.015195;0.035404;0.006521;0.015195;0.035404
0.003540;0.008234;0.019153;0.003540;0.008234;0.019153
0.007092;0.016474;0.038272;0.007092;0.016474;0.038272
0.007732;0.017938;0.041616;0.007732;0.017938;0.041616
0.003485;0.008074;0.018705;0.003485;0.008074;0.018705
0.001805;0.004175;0.009659;0.001805;0.004175;0.009659
0.005388;0.012446;0.028751;0.005388;0.012446;0.028751
0.006311;0.014559;0.033586;0.006311;0.014559;0.033586
0.006240;0.014375;0.033115;0.006240;0.014375;0.033115
0.005021;0.011550;0.026571;0.005021;0.011550;0.026571
0.002573;0.005912;0.013585;0.002573;0.005912;0.013585
0.000485;0.001114;0.002558;0.000485;0.001114;0.002558
0.000427;0.000979;0.002241;0.000427;0.000979;0.002241
0.001077;0.002463;0.005634;0.001077;0.002463;0.005634
0.004566;0.010426;0.023811;0.004566;0.010426;0.023811
0.007514;0.017141;0.039101;0.007514;0.017141;0.039101
0.007473;0.017025;0.038789;0.007473;0.017025;0.038789
0.005572;0.012678;0.028847;0.005572;0.012678;0.028847
0.004996;0.011351;0.025786;0.004996;0.011351;0.025786
0.005180;0.011752;0.026662;0.005180;0.011752;0.026662
0.003447;0.007812;0.017706;0.003447;0.007812;0.017706
0.001511;0.003418;0.007735;0.001511;0.003418;0.007735
0.001122;0.002536;0.005730;0.001122;0.002536;0.005730
0.001396;0.003149;0.007104;0.001396;0.003149;0.007104
0.002342;0.005276;0.011887;0.002342;0.005276;0.011887
0.003346;0.007528;0.016938;0.003346;0.007528;0.016938
0.004491;0.010091;0.022676;0.004491;0.010091;0.022676
0.004465;0.010020;0.022485;0.004465;0.010020;0.022485
0.003991;0.008944;0.020045;0.003991;0.008944;0.020045
0.003251;0.007273;0.016275;0.003251;0.007273;0.016275
0.005768;0.012889;0.028803;0.005768;0.012889;0.028803
0.007249;0.016179;0.036113;0.007249;0.016179;0.036113
0.003507;0.007818;0.017425;0.003507;0.007818;0.017425
0.001798;0.004001;0.008905;0.001798;0.004001;0.008905
0.004207;0.009351;0.020786;0.004207;0.009351;0.020786
0.001203;0.002672;0.005931;0.001203;0.002672;0.005931
0.000554;0.001228;0.002723;0.000554;0.001228;0.002723
0.002382;0.005274;0.011675;0.002382;0.005274;0.011675
0.002995;0.006622;0.014640;0.002995;0.006622;0.014640
0.002713;0.005990;0.013226;0.002713;0.005990;0.013226
0.000796;0.001755;0.003873;0.000796;0.001755;0.003873
0.001063;0.002340;0.005151;0.001063;0.002340;0.005151
0.003449;0.007583;0.016672;0.003449;0.007583;0.016672
0.005554;0.012196;0.026782;0.005554;0.012196;0.026782
0.004409;0.009671;0.021213;0.004409;0.009671;0.021213
0.003128;0.006851;0.015007;0.003128;0.006851;0.015007
0.002531;0.005536;0.012110;0.002531;0.005536;0.012110
0.002942;0.006425;0.014034;0.002942;0.006425;0.014034
0.004354;0.009496;0.020714;0.004354;0.009496;0.020714
0.004268;0.009300;0.020265;0.004268;0.009300;0.020265
0.002430;0.005289;0.011512;0.002430;0.005289;0.011512
0.003183;0.006914;0.015018;0.003183;0.006914;0.015018
0.006116;0.013270;0.028796;0.006116;0.013270;0.028796
0.006065;0.013145;0.028492;0.006065;0.013145;0.028492
0.003642;0.007884;0.017069;0.003642;0.007884;0.017069
0.002320;0.005014;0.010836;0.002320;0.005014;0.010836
0.003935;0.008493;0.018333;0.003935;0.008493;0.018333
0.004676;0.010081;0.021734;0.004676;0.010081;0.021734
0.004477;0.009638;0.020750;0.004477;0.009638;0.020750
0.006650;0.014298;0.030741;0.006650;0.014298;0.030741
0.010473;0.022491;0.048299;0.010473;0.022491;0.048299
0.009648;0.020692;0.044381;0.009648;0.020692;0.044381
0.004550;0.009745;0.020873;0.004550;0.009745;0.020873
0.003114;0.006661;0.014249;0.003114;0.006661;0.014249
0.001529;0.003266;0.006978;0.001529;0.003266;0.006978
0.005651;0.012057;0.025723;0.005651;0.012057;0.025723
0.008930;0.019028;0.040543;0.008930;0.019028;0.040543
0.007397;0.015742;0.033501;0.007397;0.015742;0.033501
0.003258;0.006926;0.014723;0.003258;0.006926;0.014723
0.002435;0.005168;0.010969;0.002435;0.005168;0.010969
0.003384;0.007173;0.015204;0.003384;0.007173;0.015204
0.001667;0.003530;0.007476;0.001667;0.003530;0.007476
0.001434;0.003033;0.006412;0.001434;0.003033;0.006412
0.001191;0.002515;0.005311;0.001191;0.002515;0.005311
0.001116;0.002354;0.004965;0.001116;0.002354;0.004965
0.001890;0.003980;0.008381;0.001890;0.003980;0.008381
0.001898;0.003994;0.008402;0.001898;0.003994;0.008402
0.000845;0.001777;0.003735;0.000845;0.001777;0.003735
0.000493;0.001034;0.002168;0.000493;0.001034;0.002168
0.000923;0.001935;0.004054;0.000923;0.001935;0.004054
0.000969;0.002029;0.004247;0.000969;0.002029;0.004247
0.001805;0.003772;0.007881;0.001805;0.003772;0.007881
0.003628;0.007574;0.015810;0.003628;0.007574;0.015810
0.003445;0.007184;0.014982;0.003445;0.007184;0.014982
0.001432;0.002983;0.006214;0.001432;0.002983;0.006214
0.000627;0.001303;0.002710;0.000627;0.001303;0.002710
0.001522;0.003160;0.006562;0.001522;0.003160;0.006562
0.002627;0.005449;0.011304;0.002627;0.005449;0.011304
0.003515;0.007282;0.015086;0.003515;0.007282;0.015086
0.005285;0.010935;0.022624;0.005285;0.010935;0.022624
0.007477;0.015453;0.031937;0.007477;0.015453;0.031937
0.004872;0.010057;0.020759;0.004872;0.010057;0.020759
0.002304;0.004749;0.009789;0.002304;0.004749;0.009789
0.004532;0.009331;0.019212;0.004532;0.009331;0.019212
0.004088;0.008406;0.017285;0.004088;0.008406;0.017285
0.002540;0.005217;0.010714;0.002540;0.005217;0.010714
0.004843;0.009934;0.020374;0.004843;0.009934;0.020374
0.004830;0.009894;0.020269;0.004830;0.009894;0.020269
0.004761;0.009741;0.019930;0.004761;0.009741;0.019930
0.005188;0.010602;0.021666;0.005188;0.010602;0.021666
0.004515;0.009215;0.018809;0.004515;0.009215;0.018809
0.003575;0.007288;0.014857;0.003575;0.007288;0.014857
0.003795;0.007726;0.015728;0.003795;0.007726;0.015728
0.003437;0.006989;0.014212;0.003437;0.006989;0.014212
0.002132;0.004331;0.008797;0.002132;0.004331;0.008797
0.001083;0.002197;0.004458;0.001083;0.002197;0.004458
0.000926;0.001876;0.003800;0.000926;0.001876;0.003800
0.001093;0.002211;0.004474;0.001093;0.002211;0.004474
0.002163;0.004369;0.008828;0.002163;0.004369;0.008828
0.002878;0.005809;0.011726;0.002878;0.005809;0.011726
0.002010;0.004053;0.008173;0.002010;0.004053;0.008173
0.002323;0.004676;0.009413;0.002323;0.004676;0.009413
0.003724;0.007490;0.015064;0.003724;0.007490;0.015064
0.003220;0.006469;0.012995;0.003220;0.006469;0.012995
0.002881;0.005780;0.011595;0.002881;0.005780;0.011595
0.003417;0.006847;0.013720;0.003417;0.006847;0.013720
0.002599;0.005202;0.010414;0.002599;0.005202;0.010414
0.001051;0.002100;0.004198;0.001051;0.002100;0.004198
0.001030;0.002055;0.004103;0.001030;0.002055;0.004103
0.001734;0.003458;0.006897;0.001734;0.003458;0.006897
0.000967;0.001925;0.003835;0.000967;0.001925;0.003835
0.001036;0.002060;0.004098;0.001036;0.002060;0.004098
0.002326;0.004622;0.009184;0.002326;0.004622;0.009184
0.001612;0.003198;0.006347;0.001612;0.003198;0.006347
0.001080;0.002141;0.004244;0.001080;0.002141;0.004244
0.001611;0.003189;0.006313;0.001611;0.003189;0.006313
0.000891;0.001762;0.003485;0.000891;0.001762;0.003485
0.001031;0.002036;0.004020;0.001031;0.002036;0.004020
0.000885;0.001746;0.003444;0.000885;0.001746;0.003444
0.003560;0.007013;0.013815;0.003560;0.007013;0.013815
0.004170;0.008206;0.016149;0.004170;0.008206;0.016149
0.004833;0.009499;0.018669;0.004833;0.009499;0.018669
0.005290;0.010386;0.020389;0.005290;0.010386;0.020389
0.003785;0.007424;0.014559;0.003785;0.007424;0.014559
0.002215;0.004338;0.008497;0.002215;0.004338;0.008497
0.002388;0.004671;0.009136;0.002388;0.004671;0.009136
0.001818;0.003553;0.006944;0.001818;0.003553;0.006944
0.000909;0.001773;0.003461;0.000909;0.001773;0.003461
0.001577;0.003073;0.005988;0.001577;0.003073;0.005988
0.001756;0.003420;0.006660;0.001756;0.003420;0.006660
0.002093;0.004069;0.007910;0.002093;0.004069;0.007910
0.003480;0.006758;0.013127;0.003480;0.006758;0.013127
0.002630;0.005103;0.009902;0.002630;0.005103;0.009902
0.001453;0.002815;0.005454;0.001453;0.002815;0.005454
0.002121;0.004105;0.007945;0.002121;0.004105;0.007945
0.002195;0.004243;0.008201;0.002195;0.004243;0.008201
0.003382;0.006529;0.012606;0.003382;0.006529;0.012606
0.004296;0.008287;0.015982;0.004296;0.008287;0.015982
0.003756;0.007236;0.013942;0.003756;0.007236;0.013942
0.001827;0.003516;0.006767;0.001827;0.003516;0.006767
0.000375;0.000721;0.001386;0.000375;0.000721;0.001386
0.000915;0.001756;0.003371;0.000915;0.001756;0.003371
0.003292;0.006312;0.012103;0.003292;0.006312;0.012103
0.003425;0.006561;0.012565;0.003425;0.006561;0.012565
0.001247;0.002385;0.004564;0.001247;0.002385;0.004564
0.003110;0.005941;0.011352;0.003110;0.005941;0.011352
0.005597;0.010681;0.020385;0.005597;0.010681;0.020385
0.003815;0.007272;0.013865;0.003815;0.007272;0.013865
0.003350;0.006380;0.012148;0.003350;0.006380;0.012148
0.003168;0.006025;0.011459;0.003168;0.006025;0.011459
0.002070;0.003933;0.007473;0.002070;0.003933;0.007473
0.002844;0.005396;0.010238;0.002844;0.005396;0.010238
0.001978;0.003749;0.007108;0.001978;0.003749;0.007108
0.002781;0.005265;0.009965;0.002781;0.005265;0.009965
0.002876;0.005439;0.010286;0.002876;0.005439;0.010286
0.001917;0.003621;0.006840;0.001917;0.003621;0.006840
0.002888;0.005447;0.010274;0.002888;0.005447;0.010274
0.005127;0.009661;0.018203;0.005127;0.009661;0.018203
0.006120;0.011521;0.021687;0.006120;0.011521;0.021687
0.004023;0.007567;0.014233;0.004023;0.007567;0.014233
0.002705;0.005078;0.009535;0.002705;0.005078;0.009535
0.004469;0.008383;0.015725;0.004469;0.008383;0.015725
0.004273;0.008007;0.015006;0.004273;0.008007;0.015006
0.002827;0.005292;0.009906;0.002827;0.005292;0.009906
0.002444;0.004570;0.008543;0.002444;0.004570;0.008543
0.002787;0.005204;0.009717;0.002787;0.005204;0.009717
0.003291;0.006139;0.011452;0.003291;0.006139;0.011452
0.002794;0.005206;0.009701;0.002794;0.005206;0.009701
0.001377;0.002563;0.004770;0.001377;0.002563;0.004770
0.001863;0.003463;0.006437;0.001863;0.003463;0.006437
0.004850;0.009005;0.016722;0.004850;0.009005;0.016722
0.005449;0.010107;0.018747;0.005449;0.010107;0.018747
0.002031;0.003763;0.006971;0.002031;0.003763;0.006971
0.001584;0.002932;0.005425;0.001584;0.002932;0.005425
0.002081;0.003847;0.007111;0.002081;0.003847;0.007111
0.002559;0.004726;0.008726;0.002559;0.004726;0.008726
0.001647;0.003038;0.005603;0.001647;0.003038;0.005603
0.005001;0.009213;0.016972;0.005001;0.009213;0.016972
0.007429;0.013672;0.025159;0.007429;0.013672;0.025159
0.004837;0.008892;0.016349;0.004837;0.008892;0.016349
0.003774;0.006930;0.012725;0.003774;0.006930;0.012725
0.004202;0.007707;0.014136;0.004202;0.007707;0.014136
0.004112;0.007534;0.013804;0.004112;0.007534;0.013804
0.003676;0.006728;0.012313;0.003676;0.006728;0.012313
0.001884;0.003446;0.006302;0.001884;0.003446;0.006302
0.001034;0.001888;0.003447;0.001034;0.001888;0.003447
0.002294;0.004184;0.007629;0.002294;0.004184;0.007629
0.003969;0.007231;0.013174;0.003969;0.007231;0.013174
0.005085;0.009253;0.016840;0.005085;0.009253;0.016840
0.006191;0.011254;0.020459;0.006191;0.011254;0.020459
0.007206;0.013086;0.023764;0.007206;0.013086;0.023764
0.006207;0.011261;0.020430;0.006207;0.011261;0.020430
0.002919;0.005291;0.009589;0.002919;0.005291;0.009589
0.000767;0.001389;0.002513;0.000767;0.001389;0.002513
0.000925;0.001672;0.003023;0.000925;0.001672;0.003023
0.001113;0.002010;0.003629;0.001113;0.002010;0.003629
0.001069;0.001929;0.003480;0.001069;0.001929;0.003480
0.000643;0.001158;0.002087;0.000643;0.001158;0.002087
0.000933;0.001678;0.003020;0.000933;0.001678;0.003020
0.003370;0.006059;0.010895;0.003370;0.006059;0.010895
0.006117;0.010986;0.019733;0.006117;0.010986;0.019733
0.006778;0.012162;0.021822;0.006778;0.012162;0.021822
0.004174;0.007481;0.013408;0.004174;0.007481;0.013408
0.001687;0.003021;0.005409;0.001687;0.003021;0.005409
0.001538;0.002751;0.004920;0.001538;0.002751;0.004920
0.001068;0.001909;0.003410;0.001068;0.001909;0.003410
0.000219;0.000392;0.000699;0.000219;0.000392;0.000699
0.000699;0.001246;0.002221;0.000699;0.001246;0.002221
0.000813;0.001447;0.002577;0.000813;0.001447;0.002577
0.002513;0.004469;0.007948;0.002513;0.004469;0.007948
0.002821;0.005013;0.008907;0.002821;0.005013;0.008907
0.001230;0.002184;0.003878;0.001230;0.002184;0.003878
0.001894;0.003357;0.005951;0.001894;0.003357;0.005951
0.003973;0.007036;0.012459;0.003973;0.007036;0.012459
0.004973;0.008797;0.015564;0.004973;0.008797;0.015564
0.003872;0.006844;0.012097;0.003872;0.006844;0.012097
0.002097;0.003703;0.006538;0.002097;0.003703;0.006538
0.001617;0.002851;0.005026;0.001617;0.002851;0.005026
0.002278;0.004013;0.007068;0.002278;0.004013;0.007068
0.003188;0.005610;0.009870;0.003188;0.005610;0.009870
0.002930;0.005151;0.009057;0.002930;0.005151;0.009057
0.003064;0.005379;0.009442;0.003064;0.005379;0.009442
0.005913;0.010371;0.018191;0.005913;0.010371;0.018191
0.006476;0.011348;0.019885;0.006476;0.011348;0.019885
0.004453;0.007794;0.013645;0.004453;0.007794;0.013645
0.002668;0.004666;0.008158;0.002668;0.004666;0.008158
0.003055;0.005336;0.009319;0.003055;0.005336;0.009319
0.004337;0.007567;0.013203;0.004337;0.007567;0.013203
0.004786;0.008343;0.014542;0.004786;0.008343;0.014542
0.002688;0.004680;0.008148;0.002688;0.004680;0.008148
0.004603;0.008006;0.013925;0.004603;0.008006;0.013925
0.004624;0.008033;0.013958;0.004624;0.008033;0.013958
0.002345;0.004071;0.007065;0.002345;0.004071;0.007065
0.000456;0.000790;0.001370;0.000456;0.000790;0.001370
0.001953;0.003382;0.005856;0.001953;0.003382;0.005856
0.002808;0.004858;0.008405;0.002808;0.004858;0.008405
0.002750;0.004754;0.008216;0.002750;0.004754;0.008216
0.001478;0.002553;0.004408;0.001478;0.002553;0.004408
0.001279;0.002206;0.003806;0.001279;0.002206;0.003806
0.004541;0.007822;0.013473;0.004541;0.007822;0.013473
0.008813;0.015167;0.026101;0.008813;0.015167;0.026101
0.008811;0.015150;0.026048;0.008811;0.015150;0.026048
0.003935;0.006761;0.011617;0.003935;0.006761;0.011617
0.004472;0.007671;0.013158;0.004472;0.007671;0.013158
0.005412;0.009276;0.015900;0.005412;0.009276;0.015900
0.005770;0.009879;0.016913;0.005770;0.009879;0.016913
0.004939;0.008449;0.014453;0.004939;0.008449;0.014453
0.003874;0.006618;0.011308;0.003874;0.006618;0.011308
0.003872;0.006608;0.011280;0.003872;0.006608;0.011280
0.002583;0.004405;0.007513;0.002583;0.004405;0.007513
0.000749;0.001277;0.002176;0.000749;0.001277;0.002176
0.001280;0.002177;0.003703;0.001280;0.002177;0.003703
0.002660;0.004523;0.007689;0.002660;0.004523;0.007689
0.001897;0.003221;0.005467;0.001897;0.003221;0.005467
0.003389;0.005748;0.009751;0.003389;0.005748;0.009751
0.002870;0.004864;0.008244;0.002870;0.004864;0.008244
0.000778;0.001316;0.002229;0.000778;0.001316;0.002229
0.001036;0.001752;0.002962;0.001036;0.001752;0.002962
0.002673;0.004516;0.007629;0.002673;0.004516;0.007629
0.002050;0.003459;0.005837;0.002050;0.003459;0.005837
0.003128;0.005273;0.008889;0.003128;0.005273;0.008889
0.005389;0.009077;0.015286;0.005389;0.009077;0.015286
0.004829;0.008124;0.013668;0.004829;0.008124;0.013668
0.002145;0.003606;0.006060;0.002145;0.003606;0.006060
0.002295;0.003853;0.006469;0.002295;0.003853;0.006469
0.004428;0.007426;0.012455;0.004428;0.007426;0.012455
0.002599;0.004355;0.007298;0.002599;0.004355;0.007298
0.002173;0.003637;0.006088;0.002173;0.003637;0.006088
0.001104;0.001847;0.003089;0.001104;0.001847;0.003089
0.002218;0.003705;0.006188;0.002218;0.003705;0.006188
0.002632;0.004393;0.007331;0.002632;0.004393;0.007331
0.002313;0.003856;0.006428;0.002313;0.003856;0.006428
0.001512;0.002519;0.004196;0.001512;0.002519;0.004196
0.001821;0.003029;0.005039;0.001821;0.003029;0.005039
0.001338;0.002224;0.003698;0.001338;0.002224;0.003698
0.001575;0.002614;0.004340;0.001575;0.002614;0.004340
0.002947;0.004888;0.008107;0.002947;0.004888;0.008107
0.002581;0.004278;0.007090;0.002581;0.004278;0.007090
0.001483;0.002456;0.004065;0.001483;0.002456;0.004065
0.001516;0.002506;0.004145;0.001516;0.002506;0.004145
0.002342;0.003868;0.006389;0.002342;0.003868;0.006389
0.003350;0.005529;0.009126;0.003350;0.005529;0.009126
0.002912;0.004802;0.007917;0.002912;0.004802;0.007917
0.002594;0.004272;0.007036;0.002594;0.004272;0.007036
0.003065;0.005043;0.008298;0.003065;0.005043;0.008298
0.002411;0.003963;0.006515;0.002411;0.003963;0.006515
0.001229;0.002018;0.003313;0.001229;0.002018;0.003313
0.002092;0.003432;0.005630;0.002092;0.003432;0.005630
0.002277;0.003731;0.006115;0.002277;0.003731;0.006115
0.002411;0.003946;0.006461;0.002411;0.003946;0.006461
0.003483;0.005697;0.009319;0.003483;0.005697;0.009319
0.004981;0.008139;0.013299;0.004981;0.008139;0.013299
0.004815;0.007861;0.012832;0.004815;0.007861;0.012832
0.004554;0.007427;0.012111;0.004554;0.007427;0.012111
0.005053;0.008232;0.013411;0.005053;0.008232;0.013411
0.005462;0.008889;0.014467;0.005462;0.008889;0.014467
0.004045;0.006577;0.010694;0.004045;0.006577;0.010694
0.002188;0.003555;0.005775;0.002188;0.003555;0.005775
0.001486;0.002411;0.003913;0.001486;0.002411;0.003913
0.002881;0.004670;0.007570;0.002881;0.004670;0.007570
0.002332;0.003777;0.006118;0.002332;0.003777;0.006118
0.002181;0.003529;0.005710;0.002181;0.003529;0.005710
0.001690;0.002733;0.004418;0.001690;0.002733;0.004418
0.001340;0.002164;0.003494;0.001340;0.002164;0.003494
0.001509;0.002435;0.003928;0.001509;0.002435;0.003928
0.003086;0.004972;0.008012;0.003086;0.004972;0.008012
0.004501;0.007247;0.011667;0.004501;0.007247;0.011667
0.004661;0.007498;0.012060;0.004661;0.007498;0.012060
