ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:1;0.000544786;8;47.2062;45.4496;50.1021;0.0257173;0.0247603;0.0272949;59.1205;56.541;62.8651;0.032208;0.0308027;0.0342481;32.0051;30.7706;34.5553;0.017436;0.0167634;0.0188253;14.0978;14.0963;14.1001;0.0076803;0.00767946;0.00768154; ;188.3318;0.1026005279948
phase:2;0.0247095;309;45.3667;40.8527;53.6306;1.12099;1.00945;1.32518;56.9104;51.1326;69.5237;1.40623;1.26346;1.71789;30.7038;27.1537;36.8649;0.758673;0.670953;0.910912;14.0928;14.0841;14.1054;0.348226;0.34801;0.348538; ;182.9809;4.52136654855
phase:0;0.0353949;444;49.1762;40.9627;63.7262;1.74059;1.44987;2.25558;61.6756;50.6322;79.682;2.183;1.79212;2.82034;33.2947;27.0458;43.3912;1.17846;0.957283;1.53583;14.0906;14.0818;14.1077;0.498736;0.498424;0.499342; ;194.1465;6.87179595285
phase:1;0.000281334;4;56.0091;53.8446;58.0495;0.0157573;0.0151483;0.0163313;70.4897;66.7654;74.252;0.0198312;0.0187834;0.0208896;37.6342;35.3346;39.931;0.0105878;0.00994083;0.0112339;14.1066;14.1054;14.1077;0.00396866;0.00396834;0.00396898; ;214.133;0.060242893422
phase:2;0.039001;489;49.1102;40.0633;62.5633;1.91535;1.56251;2.44003;61.5554;49.7975;76.9971;2.40072;1.94215;3.00296;33.2447;26.8243;42.2912;1.29658;1.04617;1.6494;14.0907;14.078;14.1077;0.549551;0.549055;0.550215; ;193.9103;7.5626956103
phase:0;0.00682378;86;40.8131;38.8133;43.6482;0.2785;0.264854;0.297846;51.0696;48.0207;54.2968;0.348488;0.327683;0.370509;27.5802;26.4204;29.184;0.188201;0.180287;0.199145;14.0918;14.0826;14.1024;0.096159;0.0960962;0.0962316; ;169.4629;1.156377547762
phase:1;0.012229;154;39.6324;38.5663;41.5187;0.484663;0.471626;0.507731;49.6612;47.8384;52.1436;0.607305;0.585014;0.637662;26.8352;26.1545;28.0655;0.328167;0.319843;0.343212;14.0867;14.078;14.0986;0.172266;0.172159;0.172411; ;166.1288;2.0315890952
phase:2;0.00781488;99;40.4802;38.7993;43.5576;0.316348;0.303212;0.340397;50.7041;48.1174;55.0605;0.396246;0.376032;0.430292;27.3774;26.2969;29.3119;0.213951;0.205507;0.229069;14.0912;14.0826;14.0986;0.110121;0.110054;0.110179; ;168.5617;1.317289458096
phase:0;0.00618744;79;41.1275;38.9519;44.0121;0.254474;0.241013;0.272322;51.623;48.7887;55.2702;0.319414;0.301877;0.341981;27.9339;26.3204;30.2306;0.172839;0.162856;0.18705;14.0916;14.0856;14.0986;0.0871911;0.0871538;0.0872341; ;170.6844;1.056099483936
phase:1;0.00613809;77;40.0805;38.9209;41.6715;0.246018;0.2389;0.255783;50.162;48.0132;52.1384;0.307899;0.294709;0.32003;27.1166;26.3364;28.5229;0.166444;0.161655;0.175076;14.0922;14.0871;14.0963;0.0864989;0.086468;0.0865242; ;167.3591;1.027265218119
